item_id,item_name,category,item_type,uom,accounting_group
1,Industrial Packing Tape - Industrial Grade,Packaging Material,Consumable,Roll,Opex-Logistics
2,Industrial Bubble Wrap - Padded,Packaging Material,Consumable,Roll,Opex-Logistics
3,"Industrial Corrugated Box - 12x12x12""",Packaging Material,Consumable,Roll,Opex-Logistics
4,Coca-Cola Sprite Bottle (500g),Groceries,Stock,Kg,Inventory
5,PPC Management - Q3,Marketing Svc,Service,Month,Opex-Marketing
6,Video Production - Q3,Marketing Svc,Service,Month,Opex-Marketing
7,"Industrial Poly Mailer - 12x12x12""",Packaging Material,Consumable,Roll,Opex-Logistics
8,Calvin Klein Polo T-Shirt - Charcoal [34],Men Fashion,Stock,Pcs,Inventory
9,Ralph Lauren Chino Trousers - Charcoal [M],Men Fashion,Stock,Pcs,Inventory
10,Lenovo IdeaPad 5 - 32GB/1TB SSD,IT Equipment,Asset,Pcs,Capex-IT
11,LG 27UK850 (Curved),IT Equipment,Asset,Pcs,Capex-IT
12,Asus ROG Zephyrus - i7/16GB/512GB,IT Equipment,Asset,Pcs,Capex-IT
13,Adidas Chino Trousers - Olive [M],Men Fashion,Stock,Pcs,Inventory
14,Social Media Retainer - Q3,Marketing Svc,Service,Month,Opex-Marketing
15,Nestle KitKat Box (500g),Groceries,Stock,Kg,Inventory
16,Logitech Wireless Mouse - White,IT Equipment,Asset,Pcs,Capex-IT
17,Pilot Stapler Heavy Duty - Single,Office Supplies,Consumable,Box,Opex-Admin
18,Industrial Poly Mailer - Industrial Grade,Packaging Material,Consumable,Roll,Opex-Logistics
19,PPC Management - Q1,Marketing Svc,Service,Month,Opex-Marketing
20,3M Whiteboard Markers - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
21,Microsoft Webcam - Bluetooth,IT Equipment,Asset,Pcs,Capex-IT
22,Microsoft Surface Book 3 - M2 Chip/8GB,IT Equipment,Asset,Pcs,Capex-IT
23,Samsung Galaxy S23 Ultra 128GB (Silver),Mobile Phones,Stock,Pcs,Inventory
24,"Industrial Stretch Film - 12x12x12""",Packaging Material,Consumable,Roll,Opex-Logistics
25,DailyFresh Cheddar Cheese (Pack of 12),Groceries,Stock,Kg,Inventory
26,Dell XPS 15 - 8GB/256GB,IT Equipment,Asset,Pcs,Capex-IT
27,PPC Management - Q2,Marketing Svc,Service,Month,Opex-Marketing
28,OnePlus Nord CE 3 256GB (Green),Mobile Phones,Stock,Pcs,Inventory
29,Zara Hoodie - White [32],Men Fashion,Stock,Pcs,Inventory
30,Uniqlo Slim Fit Shirt - Olive [32],Men Fashion,Stock,Pcs,Inventory
31,Industrial Poly Mailer - Clear 2 inch,Packaging Material,Consumable,Roll,Opex-Logistics
32,Dell Vostro 3510 - 32GB/1TB SSD,IT Equipment,Asset,Pcs,Capex-IT
33,Zara Polo T-Shirt - White [L],Men Fashion,Stock,Pcs,Inventory
34,PaperMate Ballpoint Pens (Blue) - Ream (500),Office Supplies,Consumable,Box,Opex-Admin
35,Waste Disposal (Weekly),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
36,Content Writing - Q2,Marketing Svc,Service,Month,Opex-Marketing
37,Security Service (Daily),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
38,Dell UltraSharp U2720Q (144Hz IPS),IT Equipment,Asset,Pcs,Capex-IT
39,Pest Control (Weekly),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
40,Bic Copy Paper A4 - Single,Office Supplies,Consumable,Box,Opex-Admin
41,Adidas Formal Blazer - Navy [M],Men Fashion,Stock,Pcs,Inventory
42,Unilever Knorr Soup (5kg),Groceries,Stock,Kg,Inventory
43,Apple iPhone 13 512GB (Green),Mobile Phones,Stock,Pcs,Inventory
44,3M Copy Paper A4 - Ream (500),Office Supplies,Consumable,Box,Opex-Admin
45,Asus Vivobook - 16GB/512GB SSD,IT Equipment,Asset,Pcs,Capex-IT
46,Social Media Retainer - Q4,Marketing Svc,Service,Month,Opex-Marketing
47,Corsair Wireless Mouse - Noise Cancelling,IT Equipment,Asset,Pcs,Capex-IT
48,Google Pixel 7 256GB (Silver),Mobile Phones,Stock,Pcs,Inventory
49,HP Z27k G3 (Curved),IT Equipment,Asset,Pcs,Capex-IT
50,Nestle Cerelac (Pack of 6),Groceries,Stock,Kg,Inventory
51,Security Service (Monthly),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
52,PPC Management - Monthly,Marketing Svc,Service,Month,Opex-Marketing
53,Tommy Hilfiger Slim Fit Shirt - Blue [36],Men Fashion,Stock,Pcs,Inventory
54,Ralph Lauren Denim Jeans - Blue [34],Men Fashion,Stock,Pcs,Inventory
55,HVAC Maintenance (Weekly),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
56,Nestle KitKat Box (5kg),Groceries,Stock,Kg,Inventory
57,Logitech Headset - Bluetooth,IT Equipment,Asset,Pcs,Capex-IT
58,Industrial Corrugated Box - Clear 2 inch,Packaging Material,Consumable,Roll,Opex-Logistics
59,Ralph Lauren Polo T-Shirt - Grey [S],Men Fashion,Stock,Pcs,Inventory
60,Coca-Cola Diet Coke Can (1L Bottle),Groceries,Stock,Kg,Inventory
61,Security Service (Weekly),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
62,Adidas Polo T-Shirt - Grey [36],Men Fashion,Stock,Pcs,Inventory
63,Microsoft Wireless Mouse - White,IT Equipment,Asset,Pcs,Capex-IT
64,Staples Stapler Heavy Duty - Pack of 5,Office Supplies,Consumable,Box,Opex-Admin
65,Staples Sticky Notes 3x3 - Single,Office Supplies,Consumable,Box,Opex-Admin
66,Staples Copy Paper A4 - Pack of 5,Office Supplies,Consumable,Box,Opex-Admin
67,SEO Audit - Q3,Marketing Svc,Service,Month,Opex-Marketing
68,SEO Audit - Q1,Marketing Svc,Service,Month,Opex-Marketing
69,Adidas Hoodie - Black [32],Men Fashion,Stock,Pcs,Inventory
70,Levi's Slim Fit Shirt - White [S],Men Fashion,Stock,Pcs,Inventory
71,Zara Chino Trousers - Blue [XL],Men Fashion,Stock,Pcs,Inventory
72,Office Cleaning (Weekly),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
73,Asus Vivobook - 32GB/1TB SSD,IT Equipment,Asset,Pcs,Capex-IT
74,Asus ROG Zephyrus - i5/8GB/256GB,IT Equipment,Asset,Pcs,Capex-IT
75,Logitech Webcam - Black,IT Equipment,Asset,Pcs,Capex-IT
76,Pest Control (Monthly),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
77,Apple MacBook Air M2 - 8GB/256GB,IT Equipment,Asset,Pcs,Capex-IT
78,Samsung Odyssey G9 (1080p 60Hz),IT Equipment,Asset,Pcs,Capex-IT
79,Samsung Galaxy S22 256GB (Green),Mobile Phones,Stock,Pcs,Inventory
80,Samsung Galaxy A54 256GB (Silver),Mobile Phones,Stock,Pcs,Inventory
81,Kellogg's Oats (Pack of 12),Groceries,Stock,Kg,Inventory
82,Uniqlo Crew Neck Sweater - Blue [L],Men Fashion,Stock,Pcs,Inventory
83,Bic Stapler Heavy Duty - Pack of 5,Office Supplies,Consumable,Box,Opex-Admin
84,OnePlus 10T 128GB (Starlight),Mobile Phones,Stock,Pcs,Inventory
85,Office Cleaning (Monthly),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
